location;date;week;total_deaths;new_deaths;total_deaths_per_million;new_deaths_per_million
United States;17/10/2021;2021-W42;724723;10462;2121.96;30.63
China;24/10/2021;2021-W43;5695;0;4;0
Germany;24/10/2021;2021-W43;97998;1051;1165.45;12.5
India;24/10/2021;2021-W43;454269;2145;318.69;1.5
United States;24/10/2021;2021-W43;735814;11091;2154.44;32.47
China;31/10/2021;2021-W44;5696;1;4;0
Germany;31/10/2021;2021-W44;99272;1274;1180.6;15.15
India;31/10/2021;2021-W44;458186;3917;321.44;2.75
United States;31/10/2021;2021-W44;744729;8915;2180.54;26.1
China;07/11/2021;2021-W45;5696;0;4;0
Germany;07/11/2021;2021-W45;100944;1672;1200.48;19.88
India;07/11/2021;2021-W45;460791;2605;323.27;1.83
United States;07/11/2021;2021-W45;752136;7407;2202.23;21.69
China;14/11/2021;2021-W46;5697;1;4;0
Germany;14/11/2021;2021-W46;103230;2286;1227.67;27.19
India;14/11/2021;2021-W46;463530;2739;325.19;1.92
United States;14/11/2021;2021-W46;759665;7529;2224.27;22.04
China;21/11/2021;2021-W47;5697;0;4;0
Germany;21/11/2021;2021-W47;105940;2710;1259.9;32.23
India;21/11/2021;2021-W47;465662;2132;326.68;1.5
United States;21/11/2021;2021-W47;769941;10276;2254.36;30.09
China;28/11/2021;2021-W48;5697;0;4;0
Germany;28/11/2021;2021-W48;109033;3093;1296.68;36.78
India;28/11/2021;2021-W48;468554;2892;328.71;2.03
United States;28/11/2021;2021-W48;775631;5690;2271.02;16.66
China;05/12/2021;2021-W49;5697;0;4;0
Germany;05/12/2021;2021-W49;111898;2865;1330.75;34.07
India;05/12/2021;2021-W49;473326;4772;332.06;3.35
United States;05/12/2021;2021-W49;783935;8304;2295.34;24.31
China;12/12/2021;2021-W50;5697;0;4;0
Germany;12/12/2021;2021-W50;114411;2513;1360.64;29.89
India;12/12/2021;2021-W50;475434;2108;333.54;1.48
United States;12/12/2021;2021-W50;792521;8586;2320.47;25.14
China;19/12/2021;2021-W51;5699;2;4;0
Germany;19/12/2021;2021-W51;116405;1994;1384.35;23.71
India;19/12/2021;2021-W51;477422;1988;334.93;1.4
United States;19/12/2021;2021-W51;801586;9065;2347.02;26.54
China;26/12/2021;2021-W52;5699;0;4;0
Germany;26/12/2021;2021-W52;117692;1287;1399.66;15.31
India;26/12/2021;2021-W52;479682;2260;336.52;1.58
United States;26/12/2021;2021-W52;812587;11001;2379.23;32.21
China;02/01/2022;2022-W01;5699;0;4;0
Germany;02/01/2022;2022-W01;118721;1029;1411.9;12.24
India;02/01/2022;2022-W01;481770;2088;337.98;1.46
United States;02/01/2022;2022-W01;821733;9146;2406.01;26.78
China;09/01/2022;2022-W02;5699;0;4;0
Germany;09/01/2022;2022-W02;119591;870;1422.24;10.35
India;09/01/2022;2022-W02;483790;2020;339.4;1.42
United States;09/01/2022;2022-W02;833449;11716;2440.31;34.3
China;16/01/2022;2022-W03;5700;1;4;0
Germany;16/01/2022;2022-W03;120284;693;1430.48;8.24
India;16/01/2022;2022-W03;486066;2276;341;1.6
United States;16/01/2022;2022-W03;847829;14380;2482.41;42.1
China;23/01/2022;2022-W04;5700;0;4;0
Germany;23/01/2022;2022-W04;121151;867;1440.8;10.31
India;23/01/2022;2022-W04;489409;3343;343.34;2.35
United States;23/01/2022;2022-W04;864137;16308;2530.16;47.75
China;30/01/2022;2022-W05;5700;0;4;0
Germany;30/01/2022;2022-W05;122268;1117;1454.08;13.28
India;30/01/2022;2022-W05;494091;4682;346.63;3.28
United States;30/01/2022;2022-W05;882540;18403;2584.05;53.88
China;06/02/2022;2022-W06;5700;0;4;0
Germany;06/02/2022;2022-W06;123772;1504;1471.96;17.89
India;06/02/2022;2022-W06;501979;7888;352.16;5.53
United States;06/02/2022;2022-W06;901194;18654;2638.66;54.62
China;13/02/2022;2022-W07;5706;6;4;0
Germany;13/02/2022;2022-W07;125477;1705;1492.24;20.28
India;13/02/2022;2022-W07;508665;6686;356.85;4.69
United States;13/02/2022;2022-W07;918744;17550;2690.05;51.39
China;20/02/2022;2022-W08;5776;70;4.05;0.05
Germany;20/02/2022;2022-W08;127263;1786;1513.48;21.24
India;20/02/2022;2022-W08;511903;3238;359.12;2.27
United States;20/02/2022;2022-W08;934116;15372;2735.06;45.01
China;27/02/2022;2022-W09;6148;372;4.31;0.26
Germany;27/02/2022;2022-W09;128908;1645;1533.04;19.56
India;27/02/2022;2022-W09;513724;1821;360.4;1.28
United States;27/02/2022;2022-W09;947162;13046;2773.26;38.2
China;06/03/2022;2022-W10;7496;1348;5.26;0.95
Germany;06/03/2022;2022-W10;130514;1606;1552.14;19.1
India;06/03/2022;2022-W10;515036;1312;361.32;0.92
United States;06/03/2022;2022-W10;956840;9678;2801.6;28.34
China;13/03/2022;2022-W11;9482;1986;6.65;1.39
Germany;13/03/2022;2022-W11;132292;1778;1573.29;21.14
India;13/03/2022;2022-W11;515850;814;361.89;0.57
United States;13/03/2022;2022-W11;965446;8606;2826.79;25.2
China;20/03/2022;2022-W12;11387;1905;7.99;1.34
Germany;20/03/2022;2022-W12;134226;1934;1596.29;23
India;20/03/2022;2022-W12;516479;629;362.33;0.44
United States;20/03/2022;2022-W12;968691;3245;2836.29;9.5
China;27/03/2022;2022-W13;12743;1356;8.94;0.95
Germany;27/03/2022;2022-W13;136107;1881;1618.66;22.37
India;27/03/2022;2022-W13;521004;4525;365.51;3.17
United States;27/03/2022;2022-W13;973682;4991;2850.91;14.61
China;03/04/2022;2022-W14;13663;920;9.59;0.65
Germany;03/04/2022;2022-W14;137643;1536;1636.93;18.27
India;03/04/2022;2022-W14;521345;341;365.75;0.24
United States;03/04/2022;2022-W14;977854;4172;2863.12;12.22
China;10/04/2022;2022-W15;14262;599;10.01;0.42
Germany;10/04/2022;2022-W15;138935;1292;1652.29;15.36
India;10/04/2022;2022-W15;521685;340;365.99;0.24
United States;10/04/2022;2022-W15;981321;3467;2873.27;10.15
China;17/04/2022;2022-W16;14634;372;10.27;0.26
Germany;17/04/2022;2022-W16;139920;985;1664.01;11.71
India;17/04/2022;2022-W16;521751;66;366.03;0.05
United States;17/04/2022;2022-W16;984444;3123;2882.42;9.14
China;24/04/2022;2022-W17;14881;247;10.44;0.17
Germany;24/04/2022;2022-W17;140728;808;1673.62;9.61
India;24/04/2022;2022-W17;522193;442;366.34;0.31
United States;24/04/2022;2022-W17;986887;2443;2889.57;7.15
China;01/05/2022;2022-W18;15273;392;10.72;0.28
Germany;01/05/2022;2022-W18;141406;678;1681.68;8.06
India;01/05/2022;2022-W18;523843;1650;367.5;1.16
United States;01/05/2022;2022-W18;989129;2242;2896.14;6.56
China;08/05/2022;2022-W19;15450;177;10.84;0.12
Germany;08/05/2022;2022-W19;141947;541;1688.11;6.43
India;08/05/2022;2022-W19;524064;221;367.66;0.16
United States;08/05/2022;2022-W19;991770;2641;2903.87;7.73
China;15/05/2022;2022-W20;15642;192;10.98;0.14
Germany;15/05/2022;2022-W20;142365;418;1693.08;4.97
India;15/05/2022;2022-W20;524214;150;367.76;0.1
United States;15/05/2022;2022-W20;993736;1966;2909.62;5.76
China;22/05/2022;2022-W21;15989;347;11.22;0.24
Germany;22/05/2022;2022-W21;142695;330;1697.01;3.92
India;22/05/2022;2022-W21;524413;199;367.9;0.14
United States;22/05/2022;2022-W21;995817;2081;2915.72;6.09
China;29/05/2022;2022-W22;16658;669;11.69;0.47
Germany;29/05/2022;2022-W22;142908;213;1699.54;2.53
India;29/05/2022;2022-W22;524586;173;368.02;0.12
United States;29/05/2022;2022-W22;998446;2629;2923.42;7.7
China;05/06/2022;2022-W23;17702;1044;12.42;0.73
Germany;05/06/2022;2022-W23;143131;223;1702.19;2.65
India;05/06/2022;2022-W23;524692;106;368.1;0.07
United States;05/06/2022;2022-W23;1000425;1979;2929.21;5.79
China;12/06/2022;2022-W24;18896;1194;13.26;0.84
Germany;12/06/2022;2022-W24;143416;285;1705.58;3.39
India;12/06/2022;2022-W24;524761;69;368.14;0.05
United States;12/06/2022;2022-W24;1002709;2284;2935.9;6.69
China;19/06/2022;2022-W25;19987;1091;14.02;0.77
Germany;19/06/2022;2022-W25;143818;402;1710.36;4.78
India;19/06/2022;2022-W25;524855;94;368.21;0.07
United States;19/06/2022;2022-W25;1004911;2202;2942.34;6.45
China;26/06/2022;2022-W26;20969;982;14.71;0.69
Germany;26/06/2022;2022-W26;144384;566;1717.09;6.73
India;26/06/2022;2022-W26;524999;144;368.31;0.1
United States;26/06/2022;2022-W26;1007412;2501;2949.67;7.32
China;03/07/2022;2022-W27;21658;689;15.2;0.48
Germany;03/07/2022;2022-W27;144994;610;1724.35;7.25
India;03/07/2022;2022-W27;525199;200;368.45;0.14
United States;03/07/2022;2022-W27;1010054;2642;2957.4;7.74
China;10/07/2022;2022-W28;22367;709;15.69;0.5
Germany;10/07/2022;2022-W28;145696;702;1732.7;8.35
India;10/07/2022;2022-W28;525428;229;368.61;0.16
United States;10/07/2022;2022-W28;1012508;2454;2964.59;7.18
China;17/07/2022;2022-W29;22895;528;16.07;0.37
Germany;17/07/2022;2022-W29;146656;960;1744.11;11.42
India;17/07/2022;2022-W29;525709;281;368.81;0.2
United States;17/07/2022;2022-W29;1015293;2785;2972.74;8.15
China;24/07/2022;2022-W30;23353;458;16.39;0.32
Germany;24/07/2022;2022-W30;147785;1129;1757.54;13.43
India;24/07/2022;2022-W30;526033;324;369.04;0.23
United States;24/07/2022;2022-W30;1018480;3187;2982.08;9.33
China;31/07/2022;2022-W31;23704;351;16.63;0.25
Germany;31/07/2022;2022-W31;148823;1038;1769.89;12.34
India;31/07/2022;2022-W31;526357;324;369.26;0.23
United States;31/07/2022;2022-W31;1021593;3113;2991.19;9.12
China;07/08/2022;2022-W32;24034;330;16.86;0.23
Germany;07/08/2022;2022-W32;149614;791;1779.29;9.41
India;07/08/2022;2022-W32;526689;332;369.5;0.23
United States;07/08/2022;2022-W32;1024854;3261;3000.74;9.55
China;14/08/2022;2022-W33;24258;224;17.02;0.16
Germany;14/08/2022;2022-W33;150237;623;1786.7;7.41
India;14/08/2022;2022-W33;527037;348;369.74;0.24
United States;14/08/2022;2022-W33;1028296;3442;3010.82;10.08
China;21/08/2022;2022-W34;24499;241;17.19;0.17
Germany;21/08/2022;2022-W34;150830;593;1793.75;7.05
India;21/08/2022;2022-W34;527332;295;369.95;0.21
United States;21/08/2022;2022-W34;1031527;3231;3020.28;9.46
China;28/08/2022;2022-W35;24766;267;17.38;0.19
Germany;28/08/2022;2022-W35;151227;397;1798.48;4.72
India;28/08/2022;2022-W35;527754;422;370.24;0.3
United States;28/08/2022;2022-W35;1034748;3221;3029.71;9.43
China;04/09/2022;2022-W36;25058;292;17.58;0.2
Germany;04/09/2022;2022-W36;151578;351;1802.65;4.17
India;04/09/2022;2022-W36;527991;237;370.41;0.17
United States;04/09/2022;2022-W36;1037838;3090;3038.75;9.05
China;11/09/2022;2022-W37;25354;296;17.79;0.21
Germany;11/09/2022;2022-W37;151895;317;1806.42;3.77
India;11/09/2022;2022-W37;528150;159;370.52;0.11
United States;11/09/2022;2022-W37;1040463;2625;3046.44;7.69
China;18/09/2022;2022-W38;25712;358;18.04;0.25
Germany;18/09/2022;2022-W38;152249;354;1810.63;4.21
India;18/09/2022;2022-W38;528337;187;370.65;0.13
United States;18/09/2022;2022-W38;1043362;2899;3054.93;8.49
China;25/09/2022;2022-W39;26244;532;18.42;0.37
Germany;25/09/2022;2022-W39;152769;520;1816.81;6.18
India;25/09/2022;2022-W39;528510;173;370.77;0.12
United States;25/09/2022;2022-W39;1046067;2705;3062.85;7.92
China;02/10/2022;2022-W40;26609;365;18.67;0.26
Germany;02/10/2022;2022-W40;153649;880;1827.28;10.46
India;02/10/2022;2022-W40;528673;163;370.89;0.11
United States;02/10/2022;2022-W40;1049049;2982;3071.58;8.73
China;09/10/2022;2022-W41;27044;435;18.98;0.3
Germany;09/10/2022;2022-W41;154933;1284;1842.55;15.27
India;09/10/2022;2022-W41;528799;126;370.98;0.09
United States;09/10/2022;2022-W41;1051609;2560;3079.08;7.5
China;16/10/2022;2022-W42;27471;427;19.27;0.3
Germany;16/10/2022;2022-W42;156493;1560;1861.1;18.55
India;16/10/2022;2022-W42;528895;96;371.04;0.07
United States;16/10/2022;2022-W42;1053883;2274;3085.73;6.66
China;23/10/2022;2022-W43;27950;479;19.61;0.34
Germany;23/10/2022;2022-W43;157970;1477;1878.67;17.57
India;23/10/2022;2022-W43;528961;66;371.09;0.05
United States;23/10/2022;2022-W43;1056838;2955;3094.39;8.65
China;30/10/2022;2022-W44;28460;510;19.97;0.36
Germany;30/10/2022;2022-W44;159019;1049;1891.14;12.48
India;30/10/2022;2022-W44;529016;55;371.13;0.04
United States;30/10/2022;2022-W44;1059919;3081;3103.41;9.02
China;06/11/2022;2022-W45;28939;479;20.31;0.34
Germany;06/11/2022;2022-W45;159717;698;1899.44;8.3
India;06/11/2022;2022-W45;530500;1484;372.17;1.04
United States;06/11/2022;2022-W45;1062382;2463;3110.62;7.21
China;13/11/2022;2022-W46;29370;431;20.61;0.3
Germany;13/11/2022;2022-W46;160357;640;1907.05;7.61
India;13/11/2022;2022-W46;530531;31;372.19;0.02
United States;13/11/2022;2022-W46;1064672;2290;3117.32;6.7
China;20/11/2022;2022-W47;29838;468;20.94;0.33
Germany;20/11/2022;2022-W47;160910;553;1913.63;6.58
India;20/11/2022;2022-W47;530574;43;372.22;0.03
United States;20/11/2022;2022-W47;1066874;2202;3123.77;6.45
China;27/11/2022;2022-W48;30192;354;21.18;0.25
Germany;27/11/2022;2022-W48;161550;640;1921.24;7.61
India;27/11/2022;2022-W48;530612;38;372.25;0.03
United States;27/11/2022;2022-W48;1069493;2619;3131.44;7.67
China;04/12/2022;2022-W49;30567;375;21.45;0.26
Germany;04/12/2022;2022-W49;162350;800;1930.76;9.51
India;04/12/2022;2022-W49;530628;16;372.26;0.01
United States;04/12/2022;2022-W49;1071256;1763;3136.6;5.16
China;11/12/2022;2022-W50;31438;871;22.06;0.61
Germany;11/12/2022;2022-W50;163311;961;1942.18;11.43
India;11/12/2022;2022-W50;530658;30;372.28;0.02
United States;11/12/2022;2022-W50;1074291;3035;3145.49;8.89
China;18/12/2022;2022-W51;33146;1708;23.26;1.2
Germany;18/12/2022;2022-W51;164450;1139;1955.73;13.55
India;18/12/2022;2022-W51;530672;14;372.29;0.01
United States;18/12/2022;2022-W51;1076943;2652;3153.25;7.76
China;25/12/2022;2022-W52;38995;5849;27.36;4.1
Germany;25/12/2022;2022-W52;165738;1288;1971.05;15.32
India;25/12/2022;2022-W52;530693;21;372.31;0.02
United States;25/12/2022;2022-W52;1079976;3033;3162.13;8.88
China;01/01/2023;2023-W01;56888;17893;39.92;12.56
Germany;01/01/2023;2023-W01;166708;970;1982.58;11.54
India;01/01/2023;2023-W01;530705;12;372.31;0.01
United States;01/01/2023;2023-W01;1082456;2480;3169.39;7.26
China;08/01/2023;2023-W02;69879;12991;49.03;9.12
Germany;08/01/2023;2023-W02;167537;829;1992.44;9.86
India;08/01/2023;2023-W02;530720;15;372.32;0.01
United States;08/01/2023;2023-W02;1085220;2764;3177.49;8.09
China;15/01/2023;2023-W03;69879;0;49.03;0
Germany;15/01/2023;2023-W03;168054;517;1998.59;6.15
India;15/01/2023;2023-W03;530726;6;372.33;0
United States;15/01/2023;2023-W03;1089627;4407;3190.39;12.9
China;22/01/2023;2023-W04;69879;0;49.03;0
Germany;22/01/2023;2023-W04;168392;338;2002.61;4.02
India;22/01/2023;2023-W04;530733;7;372.33;0
United States;22/01/2023;2023-W04;1093291;3664;3201.12;10.73
China;29/01/2023;2023-W05;69879;0;49.03;0
Germany;29/01/2023;2023-W05;168723;331;2006.55;3.94
India;29/01/2023;2023-W05;530740;7;372.34;0
United States;29/01/2023;2023-W05;1097034;3743;3212.08;10.96
China;05/02/2023;2023-W06;117566;47687;82.49;33.46
Germany;05/02/2023;2023-W06;169067;344;2010.64;4.09
India;05/02/2023;2023-W06;530745;5;372.34;0
United States;05/02/2023;2023-W06;1100486;3452;3222.18;10.11
China;12/02/2023;2023-W07;118926;1360;83.45;0.95
Germany;12/02/2023;2023-W07;169522;455;2016.05;5.41
India;12/02/2023;2023-W07;530750;5;372.35;0
United States;12/02/2023;2023-W07;1103926;3440;3232.26;10.07
China;19/02/2023;2023-W08;119463;537;83.82;0.38
Germany;19/02/2023;2023-W08;170123;601;2023.2;7.15
India;19/02/2023;2023-W08;530760;10;372.35;0.01
United States;19/02/2023;2023-W08;1106783;2857;3240.62;8.36
China;26/02/2023;2023-W09;119821;358;84.07;0.25
Germany;26/02/2023;2023-W09;170722;599;2030.32;7.12
India;26/02/2023;2023-W09;530769;9;372.36;0.01
United States;26/02/2023;2023-W09;1109145;2362;3247.54;6.92
China;05/03/2023;2023-W10;120181;360;84.33;0.25
Germany;05/03/2023;2023-W10;171257;535;2036.68;6.36
India;05/03/2023;2023-W10;530775;6;372.36;0
United States;05/03/2023;2023-W10;1111342;2197;3253.97;6.43
China;12/03/2023;2023-W11;120510;329;84.56;0.23
Germany;12/03/2023;2023-W11;171829;572;2043.49;6.8
India;12/03/2023;2023-W11;530781;6;372.37;0
United States;12/03/2023;2023-W11;1113229;1887;3259.5;5.52
China;19/03/2023;2023-W12;120775;265;84.74;0.19
Germany;19/03/2023;2023-W12;172455;626;2050.93;7.44
India;19/03/2023;2023-W12;530802;21;372.38;0.02
United States;19/03/2023;2023-W12;1114970;1741;3264.59;5.1
China;26/03/2023;2023-W13;120894;119;84.83;0.08
Germany;26/03/2023;2023-W13;173000;545;2057.41;6.48
India;26/03/2023;2023-W13;530831;29;372.4;0.02
United States;26/03/2023;2023-W13;1117054;2084;3270.7;6.1
China;02/04/2023;2023-W14;120897;3;84.83;0
Germany;02/04/2023;2023-W14;173431;431;2062.54;5.13
India;02/04/2023;2023-W14;530881;50;372.44;0.04
United States;02/04/2023;2023-W14;1118800;1746;3275.81;5.11
China;09/04/2023;2023-W15;120905;8;84.84;0.01
Germany;09/04/2023;2023-W15;173709;278;2065.84;3.31
India;09/04/2023;2023-W15;530965;84;372.5;0.06
United States;09/04/2023;2023-W15;1120529;1729;3280.87;5.06
China;16/04/2023;2023-W16;120912;7;84.84;0
Germany;16/04/2023;2023-W16;174013;304;2069.46;3.62
India;16/04/2023;2023-W16;531114;149;372.6;0.1
United States;16/04/2023;2023-W16;1121819;1290;3284.65;3.78
China;23/04/2023;2023-W17;120923;11;84.85;0.01
Germany;23/04/2023;2023-W17;174244;231;2072.21;2.75
India;23/04/2023;2023-W17;531329;215;372.75;0.15
United States;23/04/2023;2023-W17;1123017;1198;3288.16;3.51
China;30/04/2023;2023-W18;120961;38;84.87;0.03
Germany;30/04/2023;2023-W18;174406;162;2074.13;1.93
India;30/04/2023;2023-W18;531533;204;372.9;0.14
United States;30/04/2023;2023-W18;1124063;1046;3291.22;3.06
China;07/05/2023;2023-W19;121015;54;84.91;0.04
Germany;07/05/2023;2023-W19;174573;167;2076.12;1.99
India;07/05/2023;2023-W19;531680;147;373;0.1
United States;07/05/2023;2023-W19;1125209;1146;3294.57;3.36
China;14/05/2023;2023-W20;121073;58;84.95;0.04
Germany;14/05/2023;2023-W20;174682;109;2077.42;1.3
India;14/05/2023;2023-W20;531770;90;373.06;0.06
United States;14/05/2023;2023-W20;1127152;1943;3300.26;5.69
